C.D.S.  -  SIMBAD4 rel 1.5.11  -  2017.04.14CEST16:44:09

sptype >= 'L0' & sptype <= 'Y9'
-------------------------------

Number of objects : 1946

 #  |           identifier           |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|--------------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
1   |2MASS J06320617+8305014         |BD*|06 32 06.174 +83 05 01.46  |     ~|     ~|     ~|     ~|     ~|L0.5           |   3|   0
2   |[BHM2012b] 289                  |BD*|16 26 39.69 -24 22 06.2    |     ~|     ~|     ~|     ~|     ~|L4             |   7|   0
3   |2MASS J11414410+4116568         |BD*|11 41 44.106 +41 16 56.81  |     ~|     ~|     ~|     ~|     ~|L0             |   2|   0
4   |2MASS J10220489+0200477         |BD*|10 22 04.891 +02 00 47.70  |     ~|     ~|     ~|     ~|     ~|L0             |  13|   0
5   |ULAS2MASS J1231+0847            |BD*|12 31 47.536 +08 47 33.11  |     ~|     ~|     ~|     ~|     ~|T5.5           |  23|   0
6   |2MASS J22134491-2136079         |BD*|22 13 44.917 -21 36 08.00  |     ~|     ~|     ~|     ~|     ~|L0             |  18|   0
7   |2MASS J16423030+2020482         |BD*|16 42 30.308 +20 20 48.21  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
8   |2MASSW J1412244+163312          |BD*|14 12 24.493 +16 33 11.53  |     ~|     ~|     ~|19.449|17.258|L0.5V          |  22|   0
9   |SONYC NGC 1333-36               |BD*|03 29 25.84 +31 16 41.8    |     ~|     ~|     ~|     ~|     ~|L3             |   2|   0
10  |2MASS J17320014+2656228         |BD*|17 32 00.141 +26 56 22.81  |     ~|     ~|     ~|     ~|     ~|L1             |   2|   0
11  |WISE J195500.42-254013.9        |BD*|19 55 00.42 -25 40 13.9    |     ~|     ~|     ~|     ~|     ~|T8             |   2|   0
12  |2MASS J01472702+4731142         |BD*|01 47 27.026 +47 31 14.30  |     ~|     ~|     ~|     ~|     ~|L1             |   3|   0
13  |2MASS J13031775+1815219         |BD*|13 03 17.757 +18 15 21.92  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
14  |WISE J181329.40+283533.3        |BD*|18 13 29.40 +28 35 33.3    |     ~|     ~|     ~|     ~|     ~|T8             |   2|   0
15  |WISE J174303.71+421150.0        |BD*|17 43 03.71 +42 11 50.0    |     ~|     ~|     ~|     ~|     ~|T4.5           |   2|   0
16  |2MASS J23225299-6151275         |BD*|23 22 52.993 -61 51 27.51  |     ~|     ~|     ~|     ~|     ~|L1             |  10|   0
17  |2MASS J15322338+2611189         |BD*|15 32 23.380 +26 11 18.95  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
18  |BRLT 62                         |BD*|03 30 05.720 +05 56 53.45  |     ~|     ~|     ~|     ~|     ~|L5.0           |   2|   0
19  |CFBDS J090139+174051            |BD*|09 01 39.82 +17 40 51.4    |     ~|     ~|     ~|     ~|     ~|T4.0           |   2|   0
20  |ULAS J002640.45+063215.1        |NIR|00 26 40.459 +06 32 15.14  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
21  |CFBDS J030130-104504            |BD*|03 01 30.53 -10 45 04.4    |     ~|     ~|     ~|     ~|     ~|T6.0           |   3|   0
22  |2MASS J14090944+4327500         |BD*|14 09 09.447 +43 27 50.05  |     ~|     ~|     ~|     ~|     ~|L0             |   2|   0
23  |2MASS J11582795+0405502         |BD*|11 58 27.957 +04 05 50.21  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
24  |2MASS J10431944+0712326         |BD*|10 43 19.445 +07 12 32.60  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
25  |WISE J040137.21+284951.7        |BD*|04 01 37.21 +28 49 51.7    |     ~|     ~|     ~|     ~|     ~|L3             |   1|   0
